city,permits,submissions
Saskatoon,7,177
Regina,6,169
Lloydminster,2,44
Moose Jaw,2,107
North Battleford,2,56
Prince Albert,2,101
Swift Current,2,61
Warman,2,48
Weyburn,2,50
Yorkton,2,57
Estevan,1,61
Humboldt,1,36
Martensville,1,53
Meadow Lake,1,31
Melfort,1,26
Melville,1,26
Assiniboia,1,21
Battleford,1,23
Canora,1,21
Esterhazy,1,24
Fort Qu'Appelle,1,31
La Loche,1,19
La Ronge,1,27
Maple Creek,1,20
Moosomin,1,31
Nipawin,1,26
Outlook,1,22
RM of Corman Park,1,30
RM of Edenwold,1,30
Rosetown,1,27
Tisdale,1,26
Unity,1,21
